name,Resizing,Repositioning,Refilling,Repeating,Inclusion,Cutout,Replication,Division
4637abc9af7a187f5a1dc22f05c814f7.jpg,2,0,0,0,1,0,0,0
466997fffecf9a85b14e1689aa2857bd.jpg,0,0,0,1,0,0,1,0
47.png,0,0,0,1,1,0,1,0
48.png,0,0,0,1,1,0,1,0
483a12b3ff98c652631c649a35d6d57d.jpg,0,0,0,1,1,0,1,0
49.png,0,0,0,1,1,0,1,0
499ea2dffcd259a21d46a43e47bd9b5f.jpg,0,0,1,1,1,0,1,1
4b9264bb7b68d8076078379e25374880.jpg,0,0,0,0,1,0,0,1
4cd9dd077ce6a44da907081833124f2d.jpg,0,0,0,0,1,1,1,0
4cfff9159e37f32f52c61849f0937d39.jpg,1,0,1,0,1,0,1,0
4d65eee04a5d0ae3ae448ae005854c50.jpg,0,0,0,1,1,0,1,0
4df735016c3823f74945c2b3cd012273.jpg,0,0,1,0,1,0,0,1
4f85222409c4ab813e0a8a55ce5191ff.jpg,0,0,0,0,1,0,1,0
4fc19004812bc8995c087e0ebdc50b97--bristol-uk-behance-net.jpg,0,0,1,0,1,2,0,2
4fce5bf643d15daafb1cbe3493ecf26b.jpg,0,0,0,0,1,1,0,0
4ffda6d27ea0b4d8e3ebbd43de5adcd9.jpg,1,2,0,1,1,0,0,0
50.png,0,0,0,1,1,0,1,0
5083416128_fece575c4c_o-scaled.jpg,0,0,1,0,1,0,1,0
51.png,1,0,0,0,1,0,1,0
5140085677_0e8e163e36_o.jpg,0,0,1,1,1,0,1,0
52.png,0,0,0,1,1,0,1,0
54.png,2,2,0,0,1,0,0,0
54321d7872380759e1ddeee0b424fb60.jpg,1,0,1,0,1,0,1,0
545f8bc367bde5981c73ebf4d450d9c3.jpg,0,0,1,1,1,0,0,0
54dae70184e9a_-_23-michelle-obama-7989283.avif,0,0,1,0,1,0,0,1
54ddf33b281fcb103af2e8d0abff3eb2.jpg,0,0,0,1,2,0,1,0
55.png,2,2,0,0,1,0,0,0
